Concurso,Motor,Jogos,Total de acertos,Media de acertos por jogo,Melhor acerto,Melhor jogo,Resultado real,Jogos com 2 acertos,Taxa 2 acertos (%),Jogos com 3 acertos,Taxa 3 acertos (%),Jogos com 4 acertos,Taxa 4 acertos (%),Jogos com 5 acertos,Taxa 5 acertos (%),Jogos com 6 acertos,Taxa 6 acertos (%)
2897,Aleatorio,100,49,0.49,2,12 - 28 - 30 - 37 - 55 - 57,01 - 06 - 24 - 27 - 28 - 57,4,4.0,0,0.0,0,0.0,0,0.0,0,0.0
2898,Motor Elite 7,100,49,0.49,3,14 - 25 - 27 - 32 - 48 - 56,14 - 23 - 30 - 32 - 38 - 48,2,2.0,2,2.0,0,0.0,0,0.0,0,0.0
2898,Aleatorio,100,50,0.5,2,14 - 24 - 30 - 44 - 51 - 56,14 - 23 - 30 - 32 - 38 - 48,9,9.0,0,0.0,0,0.0,0,0.0,0,0.0
2899,Motor Elite 7,100,50,0.5,3,02 - 10 - 28 - 43 - 51 - 57,10 - 22 - 28 - 42 - 44 - 51,6,6.0,1,1.0,0,0.0,0,0.0,0,0.0
2899,Aleatorio,100,64,0.64,2,02 - 17 - 21 - 42 - 44 - 53,10 - 22 - 28 - 42 - 44 - 51,16,16.0,0,0.0,0,0.0,0,0.0,0,0.0
2900,Motor Elite 7,100,43,0.43,2,03 - 06 - 11 - 42 - 50 - 54,33 - 50 - 54 - 55 - 59 - 60,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0
2900,Aleatorio,100,47,0.47,3,08 - 12 - 43 - 54 - 59 - 60,33 - 50 - 54 - 55 - 59 - 60,7,7.0,1,1.0,0,0.0,0,0.0,0,0.0
2901,Motor Elite 7,100,67,0.67,3,02 - 18 - 28 - 44 - 51 - 53,02 - 20 - 28 - 38 - 44 - 47,11,11.0,1,1.0,0,0.0,0,0.0,0,0.0
2901,Aleatorio,100,69,0.69,3,17 - 28 - 38 - 47 - 54 - 59,02 - 20 - 28 - 38 - 44 - 47,8,8.0,1,1.0,0,0.0,0,0.0,0,0.0
2902,Motor Elite 7,100,31,0.31,2,08 - 17 - 30 - 35 - 45 - 53,08 - 21 - 22 - 42 - 45 - 48,3,3.0,0,0.0,0,0.0,0,0.0,0,0.0
